ESTADO,MUNICIPIO,RAZÓN SOCIAL,DIRECCIÓN,COORDENADAS,,"HORARIO
",TELEFONO,PÁG WEB,"REDES
FB",CORREO,PET,PEAD,PP (ENVASE),PP (TAPAS),PP (CAPSULAS),PEBD (BOLSA TRANSPARENTE) ,BOPP (LAMINADA),ALUMINIO,HOJALATA,CARTON LAMINADO,VIDRIO
CDMX,Miguel Hidalgo,Biobox Museo Tamayo,"Calz. Mahatma Gandhi, Polanco, Bosque de Chapultepec I Secc, CP. 11100 
Miguel Hidalgo, CDMX",19.424235462967676,-99.18046681283066,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Euler,"Euler, Chapultepec Morales, Polanco V Secc, CP. 11560
Miguel Hidalgo, CDMX.",19.431490,-99.181396,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Ejercito Nacional y Moliere,"Av Ejército Nacional 843, Granada, CP. 11520
Miguel Hidalgo, CDMX.",19.438518,-99.201358,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Liceo Franco Mexicano,"Av Ejército Nacional 952, Granada, Miguel Hidalgo, Ciudad de México, CDMX",19.438369981402705,-99.20584649742584,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Compra Venta de Desperdicio Industrial ,"Lago Huron s/n, Legaria, , CP. 11410
Miguel Hidalgo, CDMX.",19.456187351815604,-99.18933049283889,,,,,,Si,,,,,,,Si,Si,,
CDMX,Miguel Hidalgo,Biobox  del Perú,"Parque del Perú y Paseo de la Reforma S/N, Col. Lomas de Chapultepec, C.P. 11000
Miguel Hidalgo, CDMX.",19.42098028573389,-99.2180609322738,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Athos,"Av. Paseo de la Reforma 1116 A, Lomas de Chapultepec VI Secc, CP. 11000 
Miguel Hidalgo, CDMX",19.419387,-99.217734,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,"Biobox Prado Sur
","Parque Jaime Torres Bodet, Prado Sur y Monte Pirineos 303 n/a, Col. Lomas Virreyes, C.P. 11000
Miguel Hidalgo, CDMX",19.42283207620995,-99.20734292841564,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Campos Elíseos,"Campos Elíseos y Arquímedes n/a, Col. Polanco, C.P. 11550
Miguel Hidalgo, CDMX.",19.42841282157101,-99.19169510477273,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Bio Box Parque Lincoln,"Emilio Castelar y Edgar Alan Poe 30 A S/N, Col. Polanco, C.P. 11550
Miguel Hidalgo, CDMX","19.430335
",-99.200054,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox  Homero,"Homero y Arquimedes 182, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.435780292844488,-99.1908478093392,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Jaime Balmes,"Horacio 1751 esquina Jaime Balmes n/a, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.4356908063669,-99.21025711984863,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Lamartine,"Horacio esquina Lamartine S/N, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.433382853731192,-99.189696855138,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Horacio/Euler,"Horacio, Torcuato Tasso y Euler n/a, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.4328433369926,-99.1834231110941,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Horacio y Anatole,"Horacio1008 y Anatole France en la fuente n/a, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.434180,-99.197289,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Masaryk De La Barca,"Masaryk 419 entre Calderón de la Barca y Edgar Allan Poe n/a, Col. Polanco, C.P. 11550, Miguel Hidalgo, CDMX",19.432012529907627,-99.1995940575457,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Urbina,"Parque Lincoln, Luis G. Urbina esquina Aristóteles 20 n/a, Col. Polanco, C.P. 11850
Miguel Hidalgo, CDMX",19.428881438913788,-99.19392416100364,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Lagrange,"Av. Homero 1818, Polanco I Secc, CP. 11510
Miguel Hidalgo, CDMX.",19.436814196191087,-99.21082274746601,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Masaryk Moliere,"Av Moliere 74-70,  Polanco II Secc, CP. 11550
Miguel Hidalgo, CDMX.",19.432002444233227,-99.2019009270299,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Masaryk Taine,"Av. Pdte. Masaryk 89, Polanco V Secc, CP. 11560
Miguel Hidalgo, CDMX.",19.43151497633269,-99.18501293519965,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Biobox Parque Charles de Gaulle,"Parque Lira y Gobernador Agustín Vicente Eguia S/N, Col. San Miguel Chapultepec, C.P. 11850
Miguel Hidalgo, CDMX",19.407733,-99.189726,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Miguel Hidalgo,Compra y venta de desperdicios industriales Lopez,"Mar Mediterráneo 63B, Tacuba, CP. 11410
Miguel Hidalgo, CDMX.",19.45940406725818,-99.1847956416801,,,,,,Si,,,,,,,Si,Si,,
CDMX,Miguel Hidalgo,"Compra /Venta de PET, Cartón y metal","11 de Abril 118, Tacubaya CP. 11870
Miguel Hidalgo, CDMX.",19.395992068532664,-99.18572764685365,"Lunes a viernes 09:00 am - 06:00 pm
Sabado 09:00 am - 03:00 pm",55 2297 3441,,,,Si,,,,,,,Si,Si,,
CDMX,Benito Juárez,Centros de reciclaje Recupera,"Charco Azul 16, Mixcoac, CP. 03910
Benito Juárez, CDMX.",19.37120671408562,-99.18920690162865,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 01:00 pm",,https://www.recuperamexico.com/centros_reciclaje/index.html,Recupera Reciclaje,m.contreras@recuperamexico.comcmcbabl@yahoo.com.mx,Si,Si,,,,,,Si,Si,, $	0.20 
CDMX,Miguel Hidalgo,Centros de reciclaje Recupera,"Privada Martires de Tacubaya 5, Escandón I Secc, CP. 03800
Miguel Hidalgo, CDMX",19.397063498090045,-99.18281672783758,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 01:00 pm",55 5271 6001,https://www.recuperamexico.com/centros_reciclaje/index.html,Recupera Reciclaje,m.contreras@recuperamexico.comcmcbabl@yahoo.com.mx,Si,Si,,,,,,Si,Si,, $	0.20 
CDMX,Tlahuac,Compra venta de desperdicio industrial,"Av Guillermo Prieto mz 635 lt 3 y esquina Luciano Becerra, Conchita B, CP. 13360.
Tláhuac, CDMX.",19.289198850691847,-99.04051473203668,"Lunes a viernes 09:00 am - 06:00 pm
",,,,,Si,,,,,,,Si,Si,,
CDMX,Tlahuac,Deposito de fierro,"Local 49 y 50, Camino Real a Zapotitlán, La Polvorilla, CP. 09750
Tlahuac, CDMX.",19.316183121461034,-99.04110021985655,,,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlahuac,"Bodegas Estrella, S.A de C.V.","Providencia 89, Las Arboledas, CP. 13210
Tláhuac, CDMX.","19.306932
",-99.057712,,555 845 1599,http://bodegasestrella.com.mx/index.php/que-compramos,,"bodestrella@prodigy.net.mx
info@bodegasestrella.com.mx",Si,Si,,,,,,Si,Si,,
CDMX,Tlahuac,Centro de acopio la china,"Don Carlo, Miguel Hidalgo, CP. 13200
Tláhuac, CDMX.",19.296519578344515,-99.04756226710523,"Lunes a viernes 09:00 am - 06:00 pm
Sabado 09:00 am - 01:30 pm
",55 2160 1081,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlahuac,Desperdicios Industriales Rojas,"Av. Tlahuac, San Francisco Tlaltenco, CP. 13400
Tláhuac, CDMX",19.29537620468735,-99.02087221100302,,55 4165 6500,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlahuac,Compra y venta de Desperdicios Industriales ,"Av. Tlahuac 5902, Santa Ana Poniente, CP. 13300
Tláhuac, CDMX.",19.30154707913512,-99.05167165693085,,,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlahuac,Desperdicios Industriales Ale y Ali,"Manzana 102 70, Av Estanislao Ramírez Ruiz, Amp. Selene, CP. 13420
Tlahuac, CDMX.",19.28650057451948,-98.99962741281463,,55 5842 8865,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlalpan,Compra y Venta de Desperdicio Industrial,"Carr. Picacho-Ajusco 60, Amp. Miguel Hidalgo, CP. 14250
Tlalpan, CDMX.",19.27622392511695,-99.20833569193873,,55 1850 9422,,,,Si,Si,,,,,,Si,Si,,
CDMX,Tlalpan,Industria Mexicana De Reciclaje ,"Lt. 41, Cansahcab Mz. 4, Pedregal de San Nicolás 1ra Secc, CP. 14100
Tlalpan, CDMX.",19.295054763120298,-99.23193557864565,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 12:00 pm",,,,,Si,,,,,,,,,,
CDMX,Tlalpan,ReciclHarto /Compra de desperdicios Industriales,"Mz.19 Lt 28, Calle Labná, Popular Santa Teresa, CP. 14160
Tlalpan, CDMX.",19.301919760448502,-99.22298214966969,Lunes a viernes 10:00 am - 06:00 pm,55 6293 9836,,,,Si,,,,,,,,Si,,
CDMX,Venustiano Carranza ,Depósito Estadio Azteca,"Av. Río Churubusco 218 Puebla, CP. 15020
Venustiano Carranza, CDMX.",19.4083920709473,-99.07752199164283,,55 5271 6001,,,,Si,Si,,,,,,Si,Si,,$0.40 botellas enteras
CDMX,Venustiano Carranza ,Reciclables Macías,"Calz. de la Viga 260-254, Artes Gráficas, CP. 15830.
Venustiano Carranza, CDMX.",19.409255711292296,-99.12674121416245,,55 5740 9512,,,,Si,Si,,,,,,Si,Si,,
CDMX,Venustiano Carranza ,Centro de acopio El triunfo,"Nte 13 183, Moctezuma 2da Secc, CP. 15530
Venustiano Carranza, CDMX.",19.428547327889152,-99.09971501102278,"Lunes a viernes 08:00 am - 05:30 pm
Sabado 08:00 am - 02:00 pm",55 2643 5343,,,,Si,,,,,,,Si,,,
CDMX,Venustiano Carranza ,Depósito de desperdicio Industrial,"Norte 174 No. Ext. 711, Int. 5B, Pensador Mexicano, CP. 15510
Venustiano Carranza, CDMX",19.443464,-99.087035,Lunes a Viernes 09:00 am - 05:30 pm,55 1851 1934,,,,Si,,,,,,,Si,Si,,
Chiapas,San Cristóbal de las Casas,Reciclaje Trinidad,"Trinidad, Explanada del Carmen, CP. 29264
San Cristóbal de las Casas, Chis.",16.7177639123273,-92.64965393273177,,,,,,Si,,,,,,,Si,,,
Chiapas,San Cristóbal de las Casas,Productos Reciclables de los Altos,"Prolongación Insurgentes 141, Colonia Barrio De María Auxiliadora
San Cristóbal de las Casas, Chis",16.716297228702064,-92.63624583546789,"Lunes a viernes 07:00 am - 05:00 pm 
Sabado 07:00 am - 03:00 pm ",967 137 8141,,,reciclablesdelosaltos@hotmail.com, $	2.50 ,,,,,SI,,Si,Si,,
Chiapas,Tapachula,Grupo Recicle,"Carretera panamericana tramo tapachula-huixtla, a la altura de viva mexico
Tapachula, Chis.",14.7238126008067,-92.42369106663584,"Lunes a viernes 08:00 am - 05:00 pm 
Sabados 08:00 am - 02:00 pm ",962 152 6837,https://elreydelreciclaje-com.webnode.mx/?fbclid=IwAR3CqTLt-gh42sM9CeRC5iM3UZTDxAKsen6jGuywVWKDyOL7HHGxSEEPJ-s,https://www.facebook.com/GrupoRecicleMaterialFerrosoYNoFerroso/,gruporecicle_tapachula@hotmail.com,Si,,,,,,,Si,Si,,
Chiapas,Tuxtla Gutiérrez,Ecocyc,"Segunda ote sur 676, Francisco I. Madero, CP. 29066
Tuxtla Gutiérrez, Chis.",16.728195656981445,-93.09671731482311,Lunes a viernes 09:00 am - 03:00 pm,961 232 2746,,,, $	4.50 ,Si,Si,,,,,Si,Si,,
Chiapas,Tuxtla Gutiérrez,PACSUR Centro Reciclaje,"Libramiento Sur Ote 4445, Castillo Tielmans, CP. 29070
Tuxtla Gutiérrez, Chis.",16.739280526914268,-93.08345113268025,,961 347 7998,,,,Si,Si,,,,,,,,,
Chiapas,Tuxtla Gutiérrez,Recop Reciclajes Ecológicos del Pacífico,"Calzada Emiliano Zapata  #2943  Int. 6-A, Col. Terán CP. 29050
Tuxtla Gutiérrez, Chis.",16.72747409451483,-93.16758200871544,,961 1 028 506,,RECOP,,Si,Si,,,,Playo,,Si,Si,,
Chiapas,Tuxtla Gutiérrez,Recupera Centro de Reciclaje,"Central Norte 106, San José Terán, CP. 29057
Tuxtla Gutiérrez, Chis.",16.749826834052605,-93.17857263984747,,361 356 4159,,,,Si,,,,,,,Si,Si,,
Chihuahua,Chihuahua,Metalica Palomino,"Av. De las Industrias N. 17105 Col. Villas del Real
Chihuahua Chi. ",28.74382805273781,-106.12055102736433,,614 493 4959,,,,Si,,,,,,, $	19.00 , $	2.50 ,,
Chihuahua,Chihuahua,Cam Real Recicladora,"Av Lipizano 10005, Camino Real, CP. 31000
Chihuahua, Chih.",28.668725775417116,-105.98941075935066,,614 383 0803,,,,Si, $	2.70 ,,,,,, $	17.80 , $	3.20 ,,
Chihuahua,Chihuahua,Reciclados de delicias,"Calle Sierra Magisterial y calle wichita
huahua. Col. Los Nogales
Chihuahua, Chih.",28.639973,-105.999910,"Lunes a viernes 08:00 am - 05:00 pm
Sabado 08:00 am - 01:00 pm",639 124 7124,,,recicladosdelicias@gmail.com,Si,Si,Si,,,,,Si,Si,,
Chihuahua,Chihuahua,In Pack Recycling,"Calle Sierra Santa Maria del Pino N. 5300 Col. Primero de Mayo
Chihuahua, Chih.",28.630046070983877,-106.01287165300134,,614 435 3599,,,reciclado@inpackonline.com, $	4.50 , $	5.00 ,,,,,,Si,,,$.25 Cualquier color
Chihuahua,Chihuahua,Ciklo Recicladora,"M. Santo Niño 4902, Mineral II Etapa, Río Sacramento Nte. CP. 31100
Chihuahua, Chih",28.743676727641393,-106.10815155970994,Lunes a viernes de 07:00 - 05:00 pm,614 421 3812,http://ciklo.mx/,,,Si,,Si,,,,,,,,
Chihuahua,Chihuahua,Recicladora Region Norte,"Villa del Real, CP. 31137
Chihuahua, Chih.",28.74372151411623,-106.12059150965472,Lunes a viernes 08:00 - 04:00 pm,,,,,Si,,,,,,,,,,
Chihuahua,Chihuahua,Remex recicladora,"Km 12 carretera Chihuahua -Aldama y calle primera
Chihuahua, Chih.",,,,614 126 7328,,,rgs0813@hotmail.com,2.30- 3.50,,,,,,,,,,
Chihuahua,Ciudad Juárez ,Eco Ambientes Sustentables ,"Calle Mazatlan N. 10814 en Colonia Granjas Polo Gamboa
Cd. Juarez, Chih.",,,,656 620 9228,,,, $	3.20 ,SI,,,,,,,,, $	0.30 
Chihuahua,Ciudad Juárez ,Grupo Reciclaje,"Calle Nuevo León # 10805, Colonia Granjas Polo Gamboa
Cd. Juarez, Chih",31.59821108773974,-106.4632655762966,,871 408 0043,,,luisaalanism@hotmail.com,SI, $	1.00 ,,,,$5.00 bolsa negra y de color,,,,,
Chihuahua,Ciudad Juárez ,Legado Ecológico  S. de R.L. de C.V.,"Av. De las Granjas 155 Col. Granjas Pueblo Gamboa, CP. 32674 
Ciudad Juarez, Chih.",31.601709686911093,-106.46398855092903,Lunes a viernes de 8:00 - 04:00 pm,"656  419 7577
656 633 1031 ",,,,SI,,,,,,, $	16.00 ,Si,,
Chihuahua,Ciudad Juárez ,Recicladora Juárez,"Calle Plata 1605 Col. Juarez CP. 32230
Cd Juárez, Chih.",31.731583,-106.497778,,656 213 5510,,,,Si,,,,,,,Si,Si,,
Chihuahua,Ciudad Juárez ,Rekuplast  S. de R.L. de C.V.,"Av. Ruiseñor C.P 6716-6 Fracc. del Marquez
Cd. Juarez, Chih.",31.700307922970154,-106.42678841964245,,656 629 1457   ,www.rekuplast.com,Rekuplast,"rekuplast@yahoo.com 
rodolfo@rekuplast.com
rekuplast@yahoo.com",Si,Si ,Si,,,,,,,,
Chihuahua,Ciudad Juárez ,Eduardo D. Reyna,"Kilometro 27 carretera Casas Grandes
Villa Chica 3921
Cd. Juarez, Chih",,,"Lunes a viernes de 07:00 a 05:00 pm 
sábado de 07:00 a 01:00 pm","656 419 4112
",,,edreyna@hotmail.com,Si,,,,,,,,,,
Coahuila de Zaragoza,Torreón,Reciclados y Derivados,"Blvd. Laguna Sur 1139, Gral Lázaro Cárdenas del Río, CP. 27390
Torreón, Coah.",28.629781,-100.549880,,"871 112 4475
871 763 6009",,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Matamoros,Renovanz / Grupo Reciclaje,"Carretera torreón, Saltillo - Matamoros Kilómetro 31, CP. 27440
Matamoros, Coah.",25.536235242557993,-103.15628479544792,"Lunes a Viernes 08:00 am - 06:00 pm
Sabado 08:00 am - 12:00 pm",871 209 7100,http://www.gruporeciclaje.com/contacto.html,https://www.facebook.com/recycleplasticmexico/,"gustavo@gruporeciclaje.com
",Si,Si,Si,Si,,,,Si,Si,,
Coahuila de Zaragoza,Monclova ,RecicleMax,"Mayor Pedro Vázquez 21, Buenos Aires, CP. 25770 Monclova, Coah.","26.879285
",-101.407777,,866 632 5870,,,,Mayoreo,,,,,,,Mayoreo,Mayoreo,,
Coahuila de Zaragoza,Monclova ,Centro de reciclaje Guadalupe,"Blvd. San José, Fraccionamiento Hipódromo, CP. 25740
Monclova, Coah.","26.922338
",-101.395292,,"856 112 4152
866 165 6075",,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Monclova ,"Grupo Reciclaje de la Laguna, S. A. de C. V.","Ahuizotl 601, Nueva Miravalle, CP. 25750
Monclova, Coah.","26.894210
",-101.446216,,866 631 0250,,,,Si,, $	1.50 ,,,,,sI,sI,,
Coahuila de Zaragoza,Monclova ,Recicladora Impulso,"Guerrero, Rosita, CP. 25710
Monclova, Coah.","26.917172
",-101.443274,,,,,,Si,Si,,,,,,Si,Si,,
Coahuila de Zaragoza,Monclova ,Chatarra Montessori,"Alamo 1364, San Juan, CP. 25701
Monclova, Coah.","26.941587
",-101.408244,,866 115 1084,,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Piedras Negras ,Fierros y Metales Fronterizos,"Panteón Santo Cristo 307 Col. San Joaquín.
Piedras Negras, Coah.","28.653937
",-100.549964,,"878 783 5143
878 783 4840
",http://piedras-negras.mexicored.com.mx/fierros-y-metales-fronterizos.html,,fierrosymetalesf@gmail.com, $	1.50 , $	1.50 ,,,,,, $	20.00 , $	3.00 ,,
Coahuila de Zaragoza,Ramos Arizpe,Grupo Maresa,"Jesús Dávila Sánchez 260, Blanca Esthela Amp, CP. 25904
Ramos Arizpe, Coah.",25.520769912869525,-100.93763900499462,,,http://www.grupomaresa.com.mx/index.html,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Ramos Arizpe,Compra y Venta de Chatarra,"Plan de Guadalupe, Centro, CP. 25900
Ramos Arizpe, Coah.",25.543867,-100.948154,,,,,,SI,Si,,,,,,SI,SI,,
Coahuila de Zaragoza,Saltillo,Grupo Maresa Recycling Sucursal,"Blvd. Vito Alessio Robles 4002, Sin Nombre de Col 25
Saltillo, Coah.",25.471875807079595,-100.99354513561318,,,http://grupomaresa.com.mx/,,, $	5.00 ,si,,,,,,Si,Si,,
Coahuila de Zaragoza,Saltillo,"Autopartes y Metales reciclables de Saltillo
AYMERSA","Calz. Antonio Narro 2674  Col. Buenos Aires CP. 25085
Saltillo, Coah.","25.395612
",-101.018418,,844 111 2967,,,aymersa_arellano@hotmail.com, $	3.50 ,Si,,,,,, $	17.00 , $	3.70 ,,
Coahuila de Zaragoza,Saltillo,Grupo Maresa Recycling,"Calle Mariano Abasolo 334, Zona Centro, CP. 25000
Saltillo, Coah.",25.416014,-100.993511,,844 414 0762,http://grupomaresa.com.mx/,,, $	3.20 ,Si,,,,Si,,Si,Si,,
Coahuila de Zaragoza,Saltillo,Grupo Maresa Recycling,"Blvd. Eulalio Gutiérrez Treviño 1004, Las Praderas, CP. 25295
Saltillo, Coah.","25.439305
",-100.959065,"Lunes a viernes 08:00 am - 06:00 pm
Sabado 08:00 am - 02:00 pm","844 431 7579
844 431 7355",http://grupomaresa.com.mx/,,, $	3.20 ,Si,,,,Si,,Si,Si,, $	0.30 
Coahuila de Zaragoza,Saltillo,Grupo Maresa Planta Satelite,"Torre de Pizza, Parque Industrial las Torres, CP. 25114
Saltillo, Coah.",25.452842059993234,-101.0152865741954,"Lunes a viernes 08:00 am - 06:00 pm
Sabado 08:00 am - 02:00 pm",844 431 7355,http://grupomaresa.com.mx/,,, $	3.20 ,Si,,Si,Si,,Si,,Si,,
Coahuila de Zaragoza,Saltillo,Adrian Ortega,"Las Torres No. 560, Parque Industrial Las Torres
Saltillo, Coahuila",,,,"844 431 7355
844 431  1021 
844 434 4393",,,contacto@maresa.biz,Si,,,,,,,,,,
Coahuila de Zaragoza,Saltillo,Grupo Maresa Recycling Matriz,"Torre de Pizza, Parque Industrial las Torres, CP. 25114
Saltillo, Coah.",25.452867846282608,-101.01527715715831,Lunes a viernes de 8:00 a 06:00 pm y sabado de 8:00 - 02:00 hrs.,"844 431 1016 
844 431 1021

",http://grupomaresa.com.mx/,,servicioalcliente@maresa.biz,SI,SI,,,,,,,,,
Coahuila de Zaragoza,Saltillo,Recuperadora de Metales y Chatarra,"Francisco I. Madero 1354, Roma, CP. 25125
Saltillo, Coah.",25.444413711534168,-101.02215233921795,,,,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Saltillo,Magaru,"Nubes 1517, San Ángel, 25298 Saltillo, Coah.",25.454832299232557,-100.91037202375858,Lunes a viernes 09:00 am - 07:00 pm,"844 136 4612
844 869 5949",http://www.magaru.mx/,Magaru ambiental,servicioacliente@magaru.mx,Si,Si,,,,,,Si,Si,,Si
Coahuila de Zaragoza,Saltillo,Recicladora Medina,"Periférico Luis Echeverría 9195, Valle Verde, CP. 25194
Saltillo, Coah.",25.401623,-101.031015,,844 435 7669,,,,Si,,,,,,,Si,Si,,
Coahuila de Zaragoza,Torreón,Matresa,"Bulevar Mieleras 210, Ejido Sector Uno Zaragoza
Torreón, Coah.",25.496334,-103.365008,,871 169 8025,http://matresa.com/,,ileana@matresa.com,SI,,,,,,,SI,,,
Colima,Colima,Sekurit Recicladora Vergen,"Calle 67, Francisco Villa
Colima, Col","19.222913
",-103.711524,,,,,,Si,,,Si,,,,,,,
Colima,Colima,Recicladora La Guadalupana,"Lib. Ejercito Mexicano 498, Fco. Villa I, CP. 28063
Colima, Col.","19.222719
",-103.712597,,,,,,Si,,,,,,,Si,Si,,
Colima,Colima,El Kilo Colima,"Libramiento a Manzanillo 234, Prados del Sur, CP. 28620
Colima, Col.","19.233591
",-103.756907,,,,,,Si,,,,,,,Si,sI,,
Colima,Colima,Recicladora Guerra," Calle Acapulco 291 Esq. Sinaloa Col. Santa Maria
Colima, Col.   ","19.230713
",-103.702710,,312 301 7407,,,,Si,,,,,,,Si,Si,,
Colima,Manzanillo,Recicladora Shigaldi,"Casi esquina con Elías Zamora Verduzco y Calle Lazaro Cardenas s/n, Salagua, CP. 28869.
Manzanillo, Col.","19.117129
",-104.330538,,314 157 8299,,,,Si,, $	3.50 ,,, $	3.50 ,,Si,Si,,
Colima,Manzanillo,Reciclaje de la Costa S.A de C.V,"Calle 24 N. 30 Col Loma Alta CP. 28876
Manzanillo, Col.","19.070712
",-104.279994,,314 334 8888,https://www.facebook.com/recicladoradelacosta/,,recicladoradelacosta@hotmail.com, $	3.50 ,SI,,,,,,SI,SI,,
Colima,Tecomán,El Kilo Tecoman,"Calle Ejército Mexicano, Pablo Silva García CP. 28143
Tecomán, Col.","18.909179
",-103.848819,,,,,,Si,,,,,,,Si,sI,,
Colima,Villa de Álvarez,Benjamin Perez Campos ,"Hacienda del Carmen 13, Camino a Minatitlán km. 7.5 Col. La Haciendita
Villa de Álvarez, Col.","19.297713
",-103.807055,,312 194 8280,,,reciclerevive@hotmail.com,SI,SI,,,,SI,, $	18.00 ,SI,,
Colima,Villa de Álvarez,El Kilo,"Constitución 900A, San Isidro, CP. 28974
Villa de Álvarez, Col.","19.255064
",-103.740068,,,,,,Si,,,,,,,Si,sI,,Si
Durango,Durango,El Guijalo,"Teotihuacan 116, Azcapotzalco, CP. 34160
Durango, Dgo.",24.011594878233613,-104.65523560942837,,"618 817 1770
618 817 8961",,,,Si,Si,,,,,,Si,Si,,
Durango,Durango,Recuperadora de Material Reciclable Aragon,"Calle Tlaxcala 2, Jardines de Cancún, CP. 34167
Durango, Dgo.",24.011660240838044,-104.62620189596245,,618 155 3228,,,,Si,,,,,,,Si,sI,,
Durango,Durango,Compra de chatarra el Fede,"Paseo de Las Alamedas 102, Las Alamedas, CP. 34106
Durango, Dgo.",24.03898899900635,-104.6082726396024,,,,,,Si,Si,,,,,,Si,Si,,
Durango,Durango,El Casi,"Claveles 124, Las Palmas, CP. 34014
Durango, Dgo.",24.047113144929543,-104.69867993412021,,,,,,Si,,,,,,,Si,Si,,
Durango,Durango,Recicladora La Mina Sucursal Plasticos,"Calle 12 de diciembre 124 La Cuadra del ferrocarril CP. 34020
Durango, Dgo.",24.03749480422133,-104.67581429435016,,618 835 9127,,,,Si,,,,,,,Si,sI,,
Durango,Durango ,Reciclajes TNT,"Avenida Primo De Verdad 1608, Col. Lucio Cabañas
Durango, Dgo.",24.003659674301105,-104.6811829372604,"Lunes a viernes 09:00 am - 06:00 pm
Sabado 09:00 am - 03:00 pm",618 299 4378,,,"java_mexico@hotmail.com
buz_z89@hotmail.com",Si,,,,,,,Si,SI,,
